ˇ ˇ
ㄆㄣ 噴歕賁濆喯𠽾𠴮
ㄆㄣˇ 呠翸翉
ㄆㄣˊ 盆湓葐瓫㖹𡹳𪂽
ㄆㄣˋ 噴歕喯
ㄆㄤ 乓磅滂膀汸胮䏺䏾膖髈霶𣂆𠗵𨜷𩐨𪐿𣁺𣶢𤵸𣁼𦜶𣹿𩅅𪔔
ㄆㄤˇ 嗙耪覫䒍𦫣
ㄆㄤˊ 旁龐膀螃徬蒡厖尨雱逄庬篣舽彷傍嫎㥬䧛龎䨦髈𤧭䅭䠙𩄠𢎷𧿆𢐊𨁳𦪎𧔧㝑𣃙㫄𣃟𣃪𢔚𨜃𦜶𦱘𨜤𥻭
ㄆㄤˋ 胖㕩炐肨𦜍𩈈
ㄆㄥ 砰烹抨怦漰澎匉閛恲軯駍磞亨硼泙淜㛁胓㧸硑嘭䥋㤣𢼶㥊梈䍬𨳵䦕𢬪𤖳𤘾𦚝𦯰𢽩𡼜𡊤𩖜𨺀𥕱𨢶𩱋
ㄆㄥˇ 捧皏淎㷯䣙𣨞
ㄆㄥˊ 朋彭澎蓬膨硼棚鵬篷蟛芃淜鬅痭錋倗輣傰韸髼憉樥鑝逢堋磞竼浲塜稝塳漨槰蟚韼騯纄蘕鬔㥊𩖛𥭗𧚋㦀𩐛㱶𧴂䡫䰃䴶𩡕𨏕䮾𧌇𤡭䄘𨂃𪔍𩄦𪔑𦪪𨎳𡊤𠳫𣨥𡐐𥕱𨍩𩭉𦿪𩤐𥴣𨎧𩮗𧴟𩦳𨏰
ㄆㄥˋ 碰堋掽椪踫甏𩸀𥕽𥖗
ㄆㄧ 批披匹劈霹砒被丕坯坏伾狉紕秠鈹鴄怌翍釽憵銔駓髬胚帔邳鎞㔻妚阫抷炋㶪㶨狓肧㱟秛耚㓻豾鈈㨢鉟㗪磇䮆㩺𢻹𤿐𠜱悂𦙂𠞇𢱧𦀘𧧺䤨𠪮䤵𩓄𩣚䫠𧄾𠡄𡛡𣢋𣬼𤘹𥒂𠹦𠹇𡲮𢞗𢾱鮍𧪫𨐯𪄆𠦓𣬮𤿎𥝣𠂾𤞜𨛧𦐢𥞶𨦝𩿌𩬴𦄕𩓭𧫔𩔌𩸉𥷾
ㄆㄧˇ 否匹疋痞嚭苤仳庀圮崥諀毗劈癖苉㱟脴嶏噽䏘𡺮䫌䰦䤏𦘲𦘩𡛘𤿇𦙬𦰽𥔁𥀘𠘶𧠣𧨬𧯻𨢙
ㄆㄧˊ 皮疲脾琵枇裨啤毗埤沘貔陂羆罷紕郫陴鼙鈹膍毘阰蚽蜱玭笓鈚錍魾螷犤毞猈蠯比芘蚍崥椑痹髀夶肶罢渒豼焷鈈鉟壀篺㓟𡶆㼰𦳈㮰䓱㯅魮隦𥱼䯗𩩙䴽𧓎𠨸𢇳𢓖𥤻𤿙𨈚𣓋𣔬𣖰𥯡𦹽𪊕𦃋𧳼𩗫𧑜𧖕𠬱𠰎𡶌𠂱𤘢𦊁𣬈𣬉𣭁𡌸𡌹𥬖𦜠𤠞𥚈𨻀𤧰𦶰𧚽𨉉𨉊𥀍𡦟𥀡𦋼𧟽𪀇𢋜𧯿𨉮𩶨𥀦𩘙𣬖𩌛𦌲𢌆朇𧔆𩹻𪍜𧔯𤜑𩫪𩫫𤼜𩫮𧖈𧖎
